,province,ty,city,district_name,district_phone,district_zipcode
0,北京市,city,北京市,0,010,100000
1,北京市,district,北京市,东城区,010,100000
2,北京市,district,北京市,崇文区,010,100000
3,北京市,district,北京市,朝阳区,010,100000
4,北京市,district,北京市,石景山区,010,100000
5,北京市,district,北京市,通州区,010,101100
6,北京市,district,北京市,平谷区,010,101200
7,北京市,district,北京市,顺义区,010,101300
8,北京市,district,北京市,密云县,010,101500
9,北京市,district,北京市,昌平区,010,101000
10,北京市,district,北京市,房山区,010,102400
11,上海市,city,上海市,0,021,200000
12,上海市,district,上海市,黄浦区,021,200000
13,上海市,district,上海市,徐汇区,021,200000
14,上海市,district,上海市,静安区,021,200000
15,上海市,district,上海市,闸北区,021,200000
16,上海市,district,上海市,杨浦区,021,200000
17,上海市,district,上海市,闵行区,021,201100
18,上海市,district,上海市,南汇区,021,201300
19,上海市,district,上海市,金山区,021,201500
20,上海市,district,上海市,青浦区,021,201700
21,上海市,district,上海市,宝山区,021,201900
22,天津市,city,天津市,0,022,300000
23,天津市,district,天津市,和平区,022,300000
24,天津市,district,天津市,河西区,022,300000
25,天津市,district,天津市,河北区,022,300000
26,天津市,district,天津市,大港区,022,300000
27,天津市,district,天津市,西青区,022,300000
28,天津市,district,天津市,北辰区,022,300000
29,天津市,district,天津市,汉沽区,022,300480
30,天津市,district,天津市,静海县,022,301600
31,天津市,district,天津市,宝坻区,022,301800
32,重庆市,city,重庆市,0,023,404100
33,重庆市,district,重庆市,渝中区,023,400000
34,重庆市,district,重庆市,江北区,023,400000
35,重庆市,district,重庆市,九龙坡区,023,400000
36,重庆市,district,重庆市,北碚区,023,400700
37,重庆市,district,重庆市,南桐,023,400800
38,重庆市,district,重庆市,渝北区,023,401120
39,重庆市,district,重庆市,巴县,023,401300
40,重庆市,district,重庆市,綦江县,023,401420
41,重庆市,district,重庆市,永川市,023,402160
42,重庆市,district,重庆市,大足县,023,402360
43,重庆市,district,重庆市,铜梁县,023,402560
44,重庆市,district,重庆市,壁山,023,402700
45,重庆市,district,重庆市,万县,023,404000
46,重庆市,district,重庆市,忠县,023,404300
47,重庆市,district,重庆市,奉节县,023,404600
48,重庆市,district,重庆市,梁平县,023,405200
49,重庆市,district,重庆市,巫溪县,023,405800
50,重庆市,district,重庆市,涪陵区,023,408000
51,重庆市,district,重庆市,城口县,023,405900
52,重庆市,district,重庆市,丰都县,023,408200
53,重庆市,district,重庆市,南川市,023,408400
54,重庆市,district,重庆市,黔江区,023,409000
55,重庆市,district,重庆市,彭水苗族土家族,023,409600
56,重庆市,district,重庆市,秀山土家族苗族,023,409900
57,安徽省,city,滁州,0,0550,239000
58,安徽省,district,滁州,凤阳县,0550,233100
59,安徽省,district,滁州,琅琊区,0550,239000
60,安徽省,district,滁州,来安县,0550,239200
61,安徽省,district,滁州,明光市,0550,239400
